Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
1/2/2017 21:00,0.324,0.53,3.109,6.55,21.48,29.9
1/2/2017 21:30,0.321,0.6,3.091,7.229,348.48,29.85
1/2/2017 22:00,0.326,0.61,3.024,2.65,11.48,29.85
1/2/2017 22:30,0.349,0.67,3.058,2.594,358.48,29.85
1/2/2017 23:00,0.371,0.62,3.019,2.724,357.48,29.85
1/2/2017 23:30,0.36,0.67,3.036,2.72,1.48,29.8
1/3/2017 0:00,0.367,0.63,2.999,2.829,350.48,29.8
1/3/2017 0:30,0.35,0.59,2.971,2.875,352.48,29.8
1/3/2017 1:00,0.345,0.55,2.951,2.836,340.48,29.8
1/3/2017 1:30,0.367,0.72,3.073,3.049,351.48,29.8
1/3/2017 2:00,0.361,0.64,3.006,3.152,351.48,29.8
1/3/2017 2:30,0.36,0.67,2.961,2.974,338.48,29.8
1/3/2017 3:00,0.349,0.59,3.022,2.967,337.48,29.8
1/3/2017 3:30,0.334,0.6,3.136,3.242,337.48,29.75
1/3/2017 4:00,0.314,0.54,3.28,3.254,343.48,29.8
1/3/2017 4:30,0.308,0.56,3.208,2.958,340.48,29.75
1/3/2017 5:00,0.298,0.51,3.304,3.041,338.48,29.75
1/3/2017 5:30,0.279,0.58,3.286,6.991,343.48,29.75
1/3/2017 6:00,0.261,0.48,3.284,2.96,348.48,29.75
1/3/2017 6:30,0.258,0.4,3.407,3.076,336.48,29.7
1/3/2017 7:00,0.238,0.4,3.317,2.719,354.48,29.7
1/3/2017 7:30,0.245,0.45,3.384,6.938,22.48,29.75
1/3/2017 8:00,0.253,0.42,3.5,7.307,33.48,29.75
1/3/2017 8:30,0.248,0.49,3.512,7.503,29.48,30
1/3/2017 9:00,0.233,0.4,3.471,5.211,341.48,30
1/3/2017 9:30,0.24,0.41,3.499,4.716,28.48,30.1
1/3/2017 10:00,0.223,0.35,3.487,4.62,337.48,30.3
1/3/2017 10:30,0.226,0.42,3.526,6.357,36.48,30.35
1/3/2017 11:00,0.212,0.39,3.47,6.552,29.48,30.35
1/3/2017 11:30,0.205,0.35,3.383,7.457,28.48,30.4
1/3/2017 12:00,0.21,0.42,3.21,6.662,30.48,30.5
1/3/2017 12:30,0.206,0.43,2.845,1.701,42.48,30.5
1/3/2017 13:00,0.211,0.39,2.884,6.608,42.48,30.45
1/3/2017 13:30,0.212,0.38,2.687,6.593,30.48,30.4
1/3/2017 14:00,0.22,0.36,2.913,6.356,26.48,30.45
1/3/2017 14:30,0.213,0.41,2.665,1.987,331.48,30.6
1/3/2017 15:00,0.241,0.45,2.527,2.113,331.48,30.65
1/3/2017 15:30,0.277,0.52,2.534,2.419,338.48,30.5
1/3/2017 16:00,0.312,0.61,2.531,2.682,355.48,30.35
1/3/2017 16:30,0.321,0.71,2.614,2.336,7.48,30.35
1/3/2017 17:00,0.355,0.64,2.727,2.837,5.48,30.3
1/3/2017 17:30,0.337,0.59,2.792,2.881,11.48,30.3
1/3/2017 18:00,0.341,0.61,2.789,2.754,15.48,30.25
1/3/2017 18:30,0.362,0.63,2.928,2.825,15.48,30.25
1/3/2017 19:00,0.374,0.65,2.872,3.061,7.48,30.25
1/3/2017 19:30,0.388,0.63,2.876,3,5.48,30.2
1/3/2017 20:00,0.401,0.82,2.881,3.053,9.48,30.15
1/3/2017 20:30,0.399,0.76,2.917,3.187,12.48,30.1
1/3/2017 21:00,0.377,0.66,2.937,3.305,21.48,30.1
1/3/2017 21:30,0.417,0.71,2.99,3.095,14.48,30.1
1/3/2017 22:00,0.372,0.7,2.963,3.227,12.48,30.05
1/3/2017 22:30,0.367,0.63,2.991,3.274,5.48,30.1
1/3/2017 23:00,0.353,0.69,2.989,3.307,5.48,30.05
1/3/2017 23:30,0.325,0.59,2.983,3.056,16.48,30.05
1/4/2017 0:00,0.343,0.69,3.041,2.964,8.48,30.05
1/4/2017 0:30,0.334,0.91,2.907,3.246,352.48,30.05
1/4/2017 1:00,0.347,0.63,2.865,3.013,11.48,29.85
1/4/2017 1:30,0.322,0.67,2.952,3.056,0.48,29.8
1/4/2017 2:00,0.304,0.5,3.14,3.259,4.48,29.35
1/4/2017 2:30,0.307,0.53,3.248,3.257,0.48,29.2
1/4/2017 3:00,0.313,0.55,3.347,3.302,1.48,29.35
1/4/2017 3:30,0.336,0.58,3.438,3.725,9.48,29.65
1/4/2017 4:00,0.347,0.65,3.056,3.601,355.48,29.85
1/4/2017 4:30,0.364,0.69,2.823,3.539,1.48,29.9
1/4/2017 5:00,0.398,0.97,2.676,2.582,2.48,29.95
1/4/2017 5:30,0.421,0.87,2.769,2.547,158.48,29.85
1/4/2017 6:00,0.451,0.72,2.864,2.933,156.48,29.9
1/4/2017 6:30,0.482,0.84,2.902,3.093,154.48,29.9
1/4/2017 7:00,0.471,0.88,2.828,3.205,154.48,29.95
1/4/2017 7:30,0.502,0.91,2.957,3.18,153.48,29.95
1/4/2017 8:00,0.48,0.77,2.941,3.238,143.48,29.95
1/4/2017 8:30,0.482,0.87,3.018,3.467,139.48,29.95
1/4/2017 9:00,0.515,1.02,3.086,3.604,119.48,29.9
1/4/2017 9:30,0.509,1.1,3.204,3.899,99.48,29.95
1/4/2017 10:00,0.468,0.75,3.025,4.042,90.48,29.95
1/4/2017 10:30,0.435,0.86,3.123,3.598,90.48,30
1/4/2017 11:00,0.42,0.72,2.986,3.411,84.48,30.05
1/4/2017 11:30,0.394,0.83,2.981,3.142,94.48,30.05
1/4/2017 12:00,0.377,0.62,2.933,2.987,78.48,30.1
1/4/2017 12:30,0.355,0.69,2.843,4.207,80.48,30.2
1/4/2017 13:00,0.36,0.65,2.909,3.3,37.48,30.25
1/4/2017 13:30,0.366,0.79,2.749,3.601,73.48,30.25
1/4/2017 14:00,0.354,0.6,2.801,3.308,75.48,30.3
1/4/2017 14:30,0.371,0.69,2.851,3.478,70.48,30.3
1/4/2017 15:00,0.358,0.62,2.812,2.916,66.48,30.4
1/4/2017 15:30,0.371,0.71,2.795,3.25,91.48,30.4
1/4/2017 16:00,0.345,0.57,2.811,2.915,53.48,30.35
1/4/2017 16:30,0.34,0.6,2.755,2.918,49.48,30.35
1/4/2017 17:00,0.334,0.58,2.75,2.909,54.48,30.3
1/4/2017 17:30,0.33,0.61,2.779,2.527,61.48,30.25
1/4/2017 18:00,0.327,0.55,2.831,3.048,64.48,30.25
1/4/2017 18:30,0.324,0.73,2.775,2.905,60.48,30.25
1/4/2017 19:00,0.291,0.58,2.785,2.79,60.48,30.15
1/4/2017 19:30,0.318,0.61,2.837,3.094,66.48,30.15
1/4/2017 20:00,0.309,0.61,2.905,3.104,60.48,30.1
1/4/2017 20:30,0.287,0.46,2.996,2.618,61.48,30.05
1/4/2017 21:00,0.274,0.5,2.848,3.023,67.48,30.05
1/4/2017 21:30,0.268,0.49,2.899,2.842,57.48,30
1/4/2017 22:00,0.245,0.52,2.837,2.824,67.48,30
1/4/2017 22:30,0.242,0.47,2.89,2.725,63.48,30
1/4/2017 23:00,0.242,0.51,2.788,2.823,46.48,30
1/4/2017 23:30,0.219,0.43,2.853,3.099,54.48,29.95
1/5/2017 0:00,0.236,0.49,2.664,2.83,81.48,29.95
1/5/2017 0:30,0.244,0.43,2.474,1.858,74.48,29.9
1/5/2017 1:00,0.297,0.66,2.494,2.542,171.48,29.9
1/5/2017 1:30,0.37,0.69,2.553,2.552,136.48,29.9
1/5/2017 2:00,0.438,0.76,2.733,2.963,151.48,29.9
1/5/2017 2:30,0.472,0.78,2.705,2.966,140.48,29.85
